ServiceName,Suburb,Postcode,NumberOfApprovedPlaces,OverallRating
Minikins Kindergarten Childcare Centre,DONCASTER EAST,3109,48,Meeting NQS
Minyip Kindergarten,MINYIP,3392,23,Working Towards NQS
Murtoa Kindergarten,MURTOA,3390,23,Meeting NQS
Rupanyup Kindergarten,RUPANYUP,3388,28,Meeting NQS
Shine Bright Neangar Kindergarten,CALIFORNIA GULLY,3556,33,Meeting NQS
Shine Bright Echuca Central Kindergarten,ECHUCA,3564,30,Exceeding NQS
Shine Bright Echuca East Kindergarten,ECHUCA,3564,30,Exceeding NQS
Shine Bright Echuca South Community Kindergarten,ECHUCA SOUTH,3564,58,Exceeding NQS
Eltham Preschool,ELTHAM,3095,25,Exceeding NQS
Eltham South Preschool,ELTHAM,3095,30,Exceeding NQS
Lower Plenty Kindergarten,LOWER PLENTY,3093,26,Exceeding NQS
Panorama Heights Preschool,MONTMORENCY SOUTH,3094,48,Exceeding NQS
Panton Hill Preschool,PANTON HILL,3759,30,Meeting NQS
Research Preschool,RESEARCH,3095,29,Exceeding NQS
Eltham College Early Learning Centre,RESEARCH,3095,91,Exceeding NQS
Hurstbridge Preschool,HURSTBRIDGE,3099,30,Meeting NQS
Woodridge Preschool,ELTHAM,3095,66,Exceeding NQS
Sherbourne Preschool,MONTMORENCY,3094,30,Exceeding NQS
Ferguson Park Kindergarten,HURSTBRIDGE,3099,27,Meeting NQS
Eltham Woods Preschool,ELTHAM,3095,30,Exceeding NQS
Eltham Learning Centre for Children,ELTHAM,3095,41,Meeting NQS
Eltham Child Care Co-op Ltd,ELTHAM,3095,77,Exceeding NQS
Eltham Woods Child Care Centre Co-op,ELTHAM,3095,47,Exceeding NQS
Meruka Child Care Centre,ELTHAM,3095,50,Exceeding NQS
Goodstart Early Learning Lower Plenty,LOWER PLENTY,3093,120,Working Towards NQS
St Andrews Kindergarten,ABERFELDIE,3040,33,Exceeding NQS
Ascot Kindergarten,ASCOT VALE,3032,30,Meeting NQS
Coronation Kindergarten,ASCOT VALE,3032,30,Exceeding NQS
Ascot Vale Progress Kindergarten,ASCOT VALE WEST,3032,28,Exceeding NQS
Ave Maria Kindergarten,ABERFELDIE,3040,60,Exceeding NQS
Beaver Street Kindergarten,ESSENDON,3040,28,Exceeding NQS
Penleigh & Essendon Grammar School - Raleigh St Kindergarten,ESSENDON,3040,90,Exceeding NQS
Northwest Montessori Preschool,ESSENDON,3040,24,Meeting NQS
Strathmore Community Kindergarten,STRATHMORE,3041,30,Meeting NQS
Strathmore Heights Kindergarten,STRATHMORE,3041,30,Exceeding NQS
St Aidans Preschool,STRATHMORE,3041,28,Meeting NQS
Montgomery Park Kindergarten,ESSENDON,3040,30,Exceeding NQS
Wingate Avenue Childrens Co-op,ASCOT VALE,3032,62,Meeting NQS
Strathmore Children's Centre,STRATHMORE,3041,81,Exceeding NQS
Montgomery Park Children's Centre,ESSENDON,3040,85,Meeting NQS
North Essendon Kindergarten,ESSENDON NORTH,3041,28,Exceeding NQS
Hotham Hub Children's Centre,NORTH MELBOURNE,3051,78,Exceeding NQS
Hopetoun Early Years Centre,FLEMINGTON,3031,138,Exceeding NQS
Euroa Kindergarten,EUROA,3666,60,Meeting NQS
Sunrise Kindergarten and Long Day Care Centre,FITZROY NORTH,3068,22,Exceeding NQS
Isabel Henderson Kindergarten,FITZROY NORTH,3068,55,Exceeding NQS
Clifton Child Care Co-op,FITZROY NORTH,3068,27,Exceeding NQS
John Street Community Early Childhood Co-operative,FITZROY,3065,57,Exceeding NQS
East West Childcare,FITZROY,3065,25,Exceeding NQS
North Fitzroy Child Care Co-operative,FITZROY NORTH,3068,27,Exceeding NQS
Acacia Fitzroy Creche,FITZROY,3065,55,Meeting NQS
Kids on Queens Parade Childcare Centre,FITZROY NORTH,3068,60,Exceeding NQS
Princes Hill Kindergarten,CARLTON NORTH,3054,25,Meeting NQS
Lady Gowrie Child Centre,CARLTON NORTH,3054,77,Exceeding NQS
North Carlton Childrens Centre,CARLTON NORTH,3054,89,Meeting NQS
Dromana Preschool,DROMANA,3936,33,Meeting NQS
Rye Preschool,RYE,3941,29,Exceeding NQS
Sorrento Preschool,SORRENTO,3943,50,Meeting NQS
Tootgarook Preschool,TOOTGAROOK,3941,38,Meeting NQS
Flinders Preschool,FLINDERS,3929,23,Exceeding NQS
Red Hill Memorial Preschool,RED HILL,3937,25,Exceeding NQS
Waterfall Gully Preschool,ROSEBUD,3939,78,Exceeding NQS
Lyndel Child Care Centre,TOOTGAROOK,3941,79,Meeting NQS
Kingsville Kindergarten,WEST FOOTSCRAY,3012,26,Exceeding NQS
Merriwa Kindergarten,YARRAVILLE,3013,29,Exceeding NQS
South Kingsville Preschool,SOUTH KINGSVILLE,3015,30,Exceeding NQS
Angliss Children's Centre,FOOTSCRAY,3011,68,Meeting NQS
Saltwater Child Care Centre,FOOTSCRAY,3011,47,Exceeding NQS
Victoria University Children's Centre - Footscray Nicholson,FOOTSCRAY,3011,54,Exceeding NQS
Norfolk Street Child Care Centre,YARRAVILLE,3013,66,Meeting NQS
Brenbeal Children's Centre,FOOTSCRAY,3011,70,Exceeding NQS
Baden Powell Preschool,FRANKSTON,3199,28,Exceeding NQS
Frankston Preschool,FRANKSTON,3199,30,Exceeding NQS
Delacombe Park Preschool,FRANKSTON,3199,68,Meeting NQS
Paratea Preschool,FRANKSTON,3199,27,Exceeding NQS
Belvedere Park Preschool,SEAFORD,3198,28,Meeting NQS
Seaford Kindergarten,SEAFORD,3198,29,Meeting NQS
Riviera Preschool,SEAFORD NORTH,3198,26,Exceeding NQS
Seaford Heights Preschool,SEAFORD,3198,26,Exceeding NQS
Ballam Park Preschool,FRANKSTON,3199,27,Working Towards NQS
Wirilda Kindergarten,FRANKSTON NORTH,3200,58,Meeting NQS
Walkers Road Preschool,MOUNT ELIZA,3930,30,Exceeding NQS
Bayview Preschool,FRANKSTON,3199,28,Exceeding NQS
Bayside Childcare,FRANKSTON,3199,24,Working Towards NQS
Green Cottage Child Care,SEAFORD,3198,61,Meeting NQS
Erinwood Preschool,FRANKSTON,3199,56,Exceeding NQS
Kidding Around Childcare and Kindergarten,FRANKSTON,3199,34,Meeting NQS
Breakwater Kindergarten,BREAKWATER,3219,36,Exceeding NQS
Thomson Kindergarten,EAST GEELONG,3219,45,Meeting NQS
Normanby Street Preschool,EAST GEELONG,3219,36,Exceeding NQS
Geelong Children's Centre,EAST GEELONG,3219,120,Exceeding NQS
Geelong West Kindergarten,GEELONG WEST,3218,68,Exceeding NQS
Rix Street Kindergarten,HERNE HILL,3218,26,Exceeding NQS
Herne Hill Kindergarten,GEELONG NORTH,3215,58,Exceeding NQS
Macedon Kindergarten,MACEDON,3440,33,Exceeding NQS
Macedon Early Learning Centre,MACEDON,3440,51,Meeting NQS
Swinburne Avenue Children's Centre,GISBORNE,3437,60,Exceeding NQS
The Learning Sanctuary Gisborne,GISBORNE,3437,131,Meeting NQS
Boort Preschool,BOORT,3537,26,Meeting NQS
Nagambie Kindergarten & Early Childhood Services,NAGAMBIE,3608,69,Meeting NQS
Church Hill Kindergarten,HAMILTON,3300,24,Meeting NQS
Hamilton North Kindergarten,HAMILTON,3300,33,Meeting NQS
Mitchell Park Kindergarten,HAMILTON,3300,24,Meeting NQS
Robert Cochrane Kindergarten,HAWTHORN,3122,51,Exceeding NQS
West Hawthorn Preschool,HAWTHORN,3122,26,Exceeding NQS
Camberwell Baptist Church Kindergarten,HAWTHORN,3122,30,Exceeding NQS
Cara Armstrong Kindergarten,HAWTHORN EAST,3123,30,Meeting NQS
Auburn Kindergarten & Child Care Centre,HAWTHORN EAST,3123,50,Exceeding NQS
Swinburne Community Child Care,HAWTHORN,3122,35,Exceeding NQS
West Hawthorn Early Childhood Centre,HAWTHORN,3122,40,Exceeding NQS
Hawthorn Early Years,HAWTHORN,3122,155,Exceeding NQS
Hastings Kindergarten,HASTINGS,3915,30,Exceeding NQS
One Tree Defence Childcare Unit Cerberus,CRIB POINT,3919,54,Meeting NQS
Balnarring Preschool,BALNARRING,3926,54,Excellent
Baxter Kindergarten & Children's Centre,BAXTER,3911,54,Exceeding NQS
Somers Preschool,SOMERS,3927,25,Exceeding NQS
Tyabb Preschool,TYABB,3913,30,Exceeding NQS
Wagtail Cottage Early Childhood Care and Education,SOMERVILLE,3912,118,Meeting NQS
Blackscamp Preschool,SOMERVILLE,3912,60,Meeting NQS
Tyabb Village Children's Centre,TYABB,3913,42,Meeting NQS
Bittern Preschool,BITTERN,3918,24,Exceeding NQS
Westernport Child Care Centre,HASTINGS,3915,130,Meeting NQS
Queens Park Kindergarten,HEALESVILLE,3777,29,Exceeding NQS
Yarra Glen Preschool,YARRA GLEN,3775,29,Exceeding NQS
Haig Avenue Preschool,HEALESVILLE,3777,29,Exceeding NQS
Yarra Glen Early Learning Centre,YARRA GLEN,3775,60,Meeting NQS
Robyn Jane Children's Centre Inc,HEALESVILLE,3777,70,Exceeding NQS
Badger Creek Preschool,HEALESVILLE,3777,29,Exceeding NQS
Audrey Brooks Preschool,HEIDELBERG WEST,3081,50,Exceeding NQS
Ivanhoe Uniting Church Kindergarten - BUC,IVANHOE,3079,28,Meeting NQS
Yallambie Park Pre-school,YALLAMBIE,3085,56,Exceeding NQS
Interlaken Kindergarten,ROSANNA,3084,48,Meeting NQS
Rosanna Village Child Care Centre,ROSANNA,3084,63,Meeting NQS
Viewbank Preschool,VIEWBANK,3084,27,Exceeding NQS
Macleod Preschool Incorporated,MACLEOD,3085,51,Exceeding NQS
Winston Hills Preschool,VIEWBANK,3084,49,Exceeding NQS
Ivanhoe Children's Community Co-op,IVANHOE,3079,48,Meeting NQS
Cheeriokids Heidelberg,HEIDELBERG HEIGHTS,3081,40,Working Towards NQS
St Hellier Street Child Day Care,HEIDELBERG HEIGHTS,3081,41,Exceeding NQS
Austin Child Care Centre,HEIDELBERG,3084,76,Exceeding NQS
Skye Children's Co-op,MACLEOD,3085,44,Meeting NQS
Morobe Street Child Day Care Centre,HEIDELBERG,3084,59,Meeting NQS
Greensborough Road Early Learning & Kinder,MACLEOD,3085,99,Meeting NQS
Cobden & District Kindergarten,COBDEN,3266,24,Meeting NQS
Timboon & District Kindergarten,TIMBOON,3268,60,Meeting NQS
Bennett Road Kindergarten,HORSHAM,3400,29,Meeting NQS
Natimuk Road Kindergarten,HORSHAM,3400,30,Meeting NQS
Horsham Community Child Care Centre,HORSHAM,3400,64,Meeting NQS
Shine Bright Elmore Kindergarten,ELMORE,3558,24,Exceeding NQS
Shine Bright Epsom Kindergarten,EPSOM,3551,30,Exceeding NQS
Hopetoun Preschool,HOPETOUN,3396,27,Meeting NQS
Beulah Outreach Preschool,BEULAH,3395,20,Exceeding NQS
Airport West Kindergarten,AIRPORT WEST,3042,30,Exceeding NQS
Keilor Village Preschool,KEILOR,3036,30,Meeting NQS
Keilor East Kindergarten,KEILOR EAST,3033,30,Exceeding NQS
St Albans West Preschool,ST ALBANS,3021,30,Exceeding NQS
St Albans North Preschool,ST ALBANS NORTH,3021,33,Exceeding NQS
Keilor Park Preschool,KEILOR PARK,3042,33,Exceeding NQS
Lincolnville Preschool,KEILOR EAST,3033,30,Exceeding NQS
Dawson Street Preschool,TULLAMARINE,3043,31,Exceeding NQS
Milleara Gardens Kindergarten,KEILOR EAST,3033,30,Exceeding NQS
Kings Park Kindergarten,KINGS PARK,3021,63,Exceeding NQS
Keilor Gatehouse,KEILOR,3036,23,Exceeding NQS
St Albans East Preschool,ST ALBANS,3021,33,Meeting NQS
Keilor Downs Kindergarten,KEILOR DOWNS,3038,33,Exceeding NQS
Taylors Lakes Kindergarten,TAYLORS LAKES,3038,30,Exceeding NQS
Lady Nelson Early Learning and Child Care Centre,KEILOR DOWNS,3038,40,Meeting NQS
Airport West Early Learning Co-operative,AIRPORT WEST,3042,48,Meeting NQS
Remus Way Kindergarten,TAYLORS LAKES,3038,28,Meeting NQS
Remus Way Children's Centre,TAYLORS LAKES,3038,45,Exceeding NQS
Sydenham Kindergarten,SYDENHAM,3037,106,Meeting NQS
Delahey Children's Centre,DELAHEY,3037,42,Meeting NQS
Copperfields Preschool,DELAHEY,3037,60,Meeting NQS
Monmia Preschool,KEILOR DOWNS,3038,25,Exceeding NQS
Grace St Early Learning Centre,ST ALBANS,3021,91,Working Towards NQS
Oarsome Drive Childcare Centre,DELAHEY,3037,45,Meeting NQS
Davis Street Kindergarten,KEW,3101,56,Exceeding NQS
J J Mcmahon Memorial Kindergarten,KEW,3101,56,Exceeding NQS
Studley Park Kindergarten,KEW,3101,27,Meeting NQS
Glass Street Kindergarten Assoc Inc,KEW EAST,3102,25,Working Towards NQS
Ruyton Early Learning Kindergarten & Pre Prep,KEW,3101,81,Exceeding NQS
North Kew Kindergarten,KEW NORTH,3101,27,Exceeding NQS
Argyle Road Child Care Centre,KEW,3101,40,Meeting NQS
Belford Oaks Community Children's Centre,KEW,3101,35,Exceeding NQS
Peppercorn Early Learning Centre,KEW,3101,75,Meeting NQS
Carey Early Learning Centre Kew,KEW,3101,80,Exceeding NQS
Wallan Kindergarten,WALLAN,3756,60,Meeting NQS
Wandong Kindergarten,WANDONG,3758,56,Meeting NQS
Alchester Village Preschool,BORONIA,3155,30,Exceeding NQS
Cooinda Kindergarten,BORONIA WEST,3155,30,Exceeding NQS
Alexander Magit Kindergarten,FERNTREE GULLY,3156,29,Exceeding NQS
Alice Johnson Kindergarten,FERNTREE GULLY,3156,28,Exceeding NQS
Jacobs Early Learning Centre,ROWVILLE,3178,28,Working Towards NQS
Swinburne Children's Centre Wantirna,WANTIRNA SOUTH,3152,45,Exceeding NQS
Bena Angliss Kindergarten,FERNTREE GULLY,3156,30,Exceeding NQS
Wattleview Kindergarten,FERNTREE GULLY,3156,30,Exceeding NQS
F W Kerr Kindergarten,FERNTREE GULLY,3156,30,Exceeding NQS
Knoxfield Kindergarten,KNOXFIELD,3180,56,Exceeding NQS
West Gully Preschool,FERNTREE GULLY,3156,30,Exceeding NQS
Rowville Preschool,ROWVILLE,3178,66,Exceeding NQS
The Basin Preschool,THE BASIN,3154,30,Exceeding NQS
Kellbourne Heights Kindergarten & Child Care Centre,ROWVILLE,3178,60,Working Towards NQS
Haering Road Preschool,BORONIA,3155,30,Exceeding NQS
Mariemont Preschool,WANTIRNA SOUTH,3152,60,Exceeding NQS
Scoresby Village Childcare,SCORESBY,3179,45,Meeting NQS
Goodwin Estate Kindergarten,THE BASIN,3154,30,Exceeding NQS
Billoo Park Kindergarten,WANTIRNA,3152,29,Exceeding NQS
Berrabri Preschool,SCORESBY,3179,27,Meeting NQS
Templeton Orchards Preschool,WANTIRNA,3152,33,Meeting NQS
Riddell Road Preschool,WANTIRNA SOUTH,3152,33,Exceeding NQS
Windermere Reserve Preschool,FERNTREE GULLY,3156,33,Exceeding NQS
Flamingo Preschool,WANTIRNA SOUTH,3152,29,Exceeding NQS
Eildon Parade Preschool,ROWVILLE,3178,28,Meeting NQS
Park Ridge Preschool,ROWVILLE,3178,29,Exceeding NQS
Colchester Park Preschool,BORONIA,3155,33,Exceeding NQS
The Fields Preschool Centre,ROWVILLE,3178,27,Exceeding NQS
Amaroo Child Care Centre,FERNTREE GULLY,3156,100,Meeting NQS
Magic Garden Child Care Centre,FERNTREE GULLY,3156,39,Working Towards NQS
Taylor's Lane Preschool Centre,ROWVILLE,3178,25,Exceeding NQS
Murrindal Children and Family Centre,ROWVILLE,3178,66,Exceeding NQS
Liberty Family Centre,ROWVILLE,3178,30,Meeting NQS
Johnson and Friends Childcare & Kinder,FERNTREE GULLY,3156,53,Working Towards NQS
Inglewood Kindergarten,INGLEWOOD,3517,26,Working Towards NQS
Wedderburn Preschool,WEDDERBURN,3518,30,Meeting NQS
Loch & District Preschool Centre,LOCH,3945,30,Working Towards NQS
Poowong Kindergarten,POOWONG,3988,30,Exceeding NQS
Goroke Preschool,GOROKE,3412,25,Exceeding NQS
Kyabram Municipal Preschool,KYABRAM,3620,29,Meeting NQS
Unwin Street Preschool,KYABRAM,3620,61,Meeting NQS
Kyabram Community & Learning Centre,KYABRAM,3620,30,Meeting NQS
Lady Brooks Kindergarten,KYNETON,3444,66,Exceeding NQS
Trentham Early Learning,TRENTHAM,3458,27,Meeting NQS
Palm Grove Preschool,KILSYTH,3137,28,Exceeding NQS
Lilydale Preschool,LILYDALE,3140,28,Meeting NQS
Lilydale North Preschool,LILYDALE,3140,30,Exceeding NQS
Sarah Court Preschool,MONTROSE,3765,28,Exceeding NQS
Gray Court Preschool,MOOROOLBARK,3138,29,Exceeding NQS
Lancaster Preschool,MOOROOLBARK,3138,29,Exceeding NQS
Manchester Preschool,MOOROOLBARK,3138,30,Meeting NQS
Mooroolbark Early Childhood Education Centre,MOOROOLBARK,3138,55,Exceeding NQS
Mt Evelyn Memorial Preschool,MOUNT EVELYN,3796,24,Exceeding NQS
Wandin Preschool,WANDIN NORTH,3139,25,Exceeding NQS
Bimbadeen Preschool,MOOROOLBARK,3138,30,Meeting NQS
Seville Preschool,SEVILLE,3139,27,Meeting NQS
Coldstream Preschool,COLDSTREAM,3770,30,Exceeding NQS
Joy Avenue Kindergarten,MOUNT EVELYN,3796,30,Exceeding NQS
Aussie Kindies Early Learning Kilsyth,KILSYTH,3137,80,Meeting NQS
Rolling Hills Kindergarten,MOOROOLBARK,3138,25,Exceeding NQS
Lakeview Kindergarten & Childcare,LILYDALE,3140,38,Exceeding NQS
Como Park Child Care & Kindergarten,LILYDALE,3140,64,Exceeding NQS
Natural Wonders Early Learning,MOOROOLBARK,3138,38,Exceeding NQS
Heyfield Kindergarten,HEYFIELD,3858,30,Exceeding NQS
Maffra Queen Street Kindergarten & Occasional Care,MAFFRA,3860,30,Working Towards NQS
Glassford Kindergarten,MAFFRA,3860,58,Exceeding NQS
Briagolong Kindergarten & Occasional Care Centre,BRIAGOLONG,3860,37,Meeting NQS
Maldon Preschool Centre,MALDON,3463,26,Exceeding NQS
Malvern Memorial Kindergarten,ARMADALE,3143,26,Exceeding NQS
Gardiner Preschool Inc,GLEN IRIS,3146,50,Exceeding NQS
Ewing Kindergarten,MALVERN EAST,3145,44,Exceeding NQS
Sunnyside Kindergarten,MALVERN EAST,3145,56,Exceeding NQS
Samantha's Child Care and Kindergarten,GLEN IRIS,3146,67,Meeting NQS
Malvern Early Learning and Child Care Centre,ARMADALE,3143,35,Exceeding NQS
Malvern Day Nursery,MALVERN,3144,29,Meeting NQS
Little St Margarets,MALVERN,3144,51,Exceeding NQS
Little Paddington Child Care Centre and Kindergarten,MALVERN EAST,3145,60,Meeting NQS
Chabad House of Malvern/Toorak,ARMADALE,3143,80,Exceeding NQS
Shine Bright Kangaroo Flat Kindergarten,KANGAROO FLAT,3555,30,Exceeding NQS
Shine Bright Helm Street Kindergarten,KANGAROO FLAT,3555,51,Exceeding NQS
A G Leech Kindergarten,MARYBOROUGH,3465,33,Working Towards NQS
Californian Gully Kindergarten,MARYBOROUGH,3465,29,Meeting NQS
T L Stone Memorial Kindergarten,MARYBOROUGH,3465,30,Exceeding NQS
Shine Bright Heathcote Kindergarten,HEATHCOTE,3523,24,Exceeding NQS
Queensberry Childrens Centre,CARLTON,3053,104,Exceeding NQS
Powlett Reserve Children's Centre,EAST MELBOURNE,3002,51,Exceeding NQS
St Brendan's Kindergarten,FLEMINGTON,3031,29,Meeting NQS
Kensington Community Children's Centre,KENSINGTON,3031,140,Exceeding NQS
St Mary's Kindergarten,NORTH MELBOURNE,3051,50,Exceeding NQS
Fawkner Park Children's Centre,SOUTH YARRA,3141,74,Exceeding NQS
Kids on Collins,MELBOURNE,3000,208,Meeting NQS
Christ Church Grammar Kindergarten,SOUTH YARRA,3141,97,Exceeding NQS
Wimble Street Child Care Co-op,PARKVILLE,3052,31,Exceeding NQS
Flemington Child Care Co-operative,FLEMINGTON,3031,37,Working Towards NQS
Tommaso Fiaschi Child Care Centre,CARLTON,3053,54,Meeting NQS
Yarra Park Children's Centre,EAST MELBOURNE,3002,63,Meeting NQS
North Melbourne Childrens Centre,NORTH MELBOURNE,3051,49,Exceeding NQS
Melbourne University Family Club,CARLTON,3053,48,Exceeding NQS
Swanston Street Children's Centre,CARLTON,3053,41,Meeting NQS
Try Melton West Preschool,MELTON WEST,3337,76,Meeting NQS
Melton Uniting Kindergarten,MELTON,3337,33,Exceeding NQS
Diggers Rest Preschool,DIGGERS REST,3427,66,Exceeding NQS
Kingsway Preschool,MELTON,3337,33,Working Towards NQS
Rockbank Kindergarten,ROCKBANK,3335,32,Meeting NQS
Early Learning Child Care Centre & Kindergarten,MELTON,3337,68,Working Towards NQS
Bellevue Hill Preschool,HILLSIDE,3037,60,Meeting NQS
Melton South Early Learning Kinders,MELTON SOUTH,3338,80,Meeting NQS
Harcourt Pre-School Play Centre,HARCOURT,3453,23,Meeting NQS
De Garis Preschool,MILDURA,3500,57,Exceeding NQS
Pasadena Preschool,MILDURA,3500,59,Exceeding NQS
Mildura West Kindergarten,MILDURA,3500,60,Meeting NQS
TAFE Kids Inc,MILDURA,3500,91,Working Towards NQS
Playalong Early Learning Centre,MILDURA,3500,37,Meeting NQS
Irymple Kindergarten,IRYMPLE,3498,88,Exceeding NQS
Merbein Preschool Kindergarten,MERBEIN,3505,64,Exceeding NQS
Mildura South Kindergarten,MILDURA,3500,59,Exceeding NQS
Red Cliffs Kindergarten,RED CLIFFS,3496,59,Working Towards NQS
Millewa Preschool,WERRIMULL,3496,22,Meeting NQS
Nangiloc & District Kindergarten,NANGILOC,3494,28,Meeting NQS
Macarthur Kindergarten,MACARTHUR,3286,21,Working Towards NQS
Nullawarre Kindergarten,NULLAWARRE,3268,19,Exceeding NQS
Moore Street Kindergarten,MOE,3825,30,Working Towards NQS
Murray Road Kindergarten,NEWBOROUGH,3825,28,Exceeding NQS
East Newborough Kindergarten,NEWBOROUGH,3825,28,Exceeding NQS
Moe Heights Kindergarten,MOE,3825,26,Meeting NQS
Moe Central Child Care Centre,MOE,3825,60,Meeting NQS
Gordon Street Preschool,BEAUMARIS,3193,28,Exceeding NQS
GEKA Bentleigh Kindergarten,BENTLEIGH,3204,30,Exceeding NQS
GEKA Bentleigh East Kindergarten,BENTLEIGH EAST,3165,27,Exceeding NQS
GEKA Brady Road Kindergarten,BENTLEIGH EAST,3165,32,Exceeding NQS
GEKA Centre Road Kindergarten,BENTLEIGH EAST,3165,30,Exceeding NQS
Evesham Road Preschool,CHELTENHAM,3192,60,Exceeding NQS
Farm Road Preschool,CHELTENHAM,3192,33,Exceeding NQS
Olympic Avenue Kindergarten,CHELTENHAM,3192,50,Exceeding NQS
GEKA McKinnon Kindergarten,MCKINNON,3204,64,Exceeding NQS
Acacia Avenue Preschool,MENTONE,3194,66,Meeting NQS
Bruthen Street Kindergarten,MOORABBIN,3189,26,Meeting NQS
Washington Drive Preschool,OAKLEIGH SOUTH,3167,33,Meeting NQS
Bentleigh West Kindergarten,BENTLEIGH,3204,24,Exceeding NQS
Sundowner Kindergarten,CLARINDA,3169,30,Meeting NQS
Robin's Nest Early Learning Centre,CHELTENHAM,3192,60,Meeting NQS
Mentone Park Child Care and Preschool,MENTONE,3194,34,Meeting NQS
Bentleigh Early Child Education Cooperative,BENTLEIGH,3204,37,Exceeding NQS
East Bentleigh Child Care Centre,BENTLEIGH EAST,3165,37,Working Towards NQS
Virginia Park Child Care Centre,BENTLEIGH EAST,3165,50,Working Towards NQS
Friendship Square Child Care & Kindergarten Co-op,CHELTENHAM,3192,40,Meeting NQS
Roseberry House Early Learning Centre Bentleigh,BENTLEIGH,3204,93,Exceeding NQS
East Beaumaris Kindergarten,BEAUMARIS EAST,3193,30,Exceeding NQS
Mentone Preschool,MENTONE,3194,28,Exceeding NQS
Elonera Preschool,PARKDALE,3195,28,Exceeding NQS
Parkdale Preschool,PARKDALE,3195,27,Exceeding NQS
Balcombe Preschool,MOUNT MARTHA,3934,30,Exceeding NQS
Beleura Hill Preschool,MORNINGTON,3931,30,Exceeding NQS
Leslie Moorhead Preschool Centre,MORNINGTON,3931,28,Meeting NQS
South Mornington Preschool,MORNINGTON SOUTH,3931,29,Meeting NQS
Kunyung Preschool,MOUNT ELIZA,3930,26,Exceeding NQS
Mount Eliza Preschool,MOUNT ELIZA,3930,30,Exceeding NQS
Mornington Park Preschool,MORNINGTON,3931,29,Exceeding NQS
Mount Martha Kindergarten,MOUNT MARTHA,3934,30,Exceeding NQS
Clever Little Monkeys,MORNINGTON,3931,35,Working Towards NQS
Padua Kindergarten & Childcare Centre,MORNINGTON,3931,57,Working Towards NQS
Mortlake & District Kindergarten,MORTLAKE,3272,42,Exceeding NQS
Peas in a Pod Children's Centre,MORTLAKE,3272,15,Working Towards NQS
Elizabeth Wilmot Kindergarten,MORWELL,3840,27,Meeting NQS
Yinnar & District Kindergarten,YINNAR,3869,26,Meeting NQS
Boolarra Kindergarten,BOOLARRA,3870,33,Exceeding NQS
Parklands Kindergarten,MORWELL,3840,30,Meeting NQS
Glendonald Kindergarten,CHURCHILL,3842,30,Meeting NQS
Kylie Early Learning Centre,MORWELL,3840,38,Working Towards NQS
Carinya Early Learning Centre,MORWELL,3840,60,Exceeding NQS
Dunkeld Kindergarten,DUNKELD,3294,30,Exceeding NQS
Penshurst Preschool,PENSHURST,3289,24,Meeting NQS
Chatsworth Occasional Child Care,CHATSWORTH,3379,30,Meeting NQS
Mountain View Children's Centre,MYRTLEFORD,3737,97,Meeting NQS
Trafalgar Kindergarten,TRAFALGAR,3824,29,Exceeding NQS
Yallourn North Kindergarten,YALLOURN NORTH,3825,25,Working Towards NQS
Thorpdale Kindergarten,THORPDALE,3835,25,Exceeding NQS
Willow Grove Kindergarten,WILLOW GROVE,3825,25,Meeting NQS
